t,a
6.074337482,-0.070800781
6.079866648,0.060058594
6.085393667,0.178710938
6.090927601,0.37890625
6.096461535,0.575195313
6.101990223,0.721435547
6.107522726,0.718994141
6.113050222,0.679931641
6.118575573,0.493408203
6.124108553,0.301513672
6.129640341,0.095947266
6.135172129,-0.069335938
6.140704155,-0.19140625
6.14623332,-0.286865234
6.15176034,-0.381103516
6.157457113,-0.205322266
6.163916588,-0.032958984
6.170365095,0.069335938
6.176814556,0.272216797
6.183262587,0.404296875
6.189716101,0.533203125
6.1961658,0.587402344
6.202619553,0.474121094
6.209070921,0.281738281
6.215516329,0.153808594
6.221961975,-0.031738281
6.228410959,-0.122070313
6.234857082,-0.280517578
6.241305113,-0.275390625
6.24776268,-0.213623047
6.254207373,-0.083251953
6.260691404,0.084472656
6.267145872,0.227050781
6.273587465,0.364257813
6.280078411,0.444580078
6.286613703,0.515136719
6.293047667,0.478759766
6.299467325,0.415283203
6.305891991,0.279296875
6.312317133,0.995544434
6.318739176,0.995544434
6.325162888,0.21875
6.331586123,-0.308837891
6.338004112,0.995544434
6.344422102,0.98046875
6.350871325,0.069091797
6.357522964,0.121337891
6.363382339,0.218994141
6.368913174,0.042236328
6.374440193,0.171630859
6.379956245,0.448486328
6.3854599,0.483642578
6.391207218,0.393554688
6.396733046,0.334472656
6.402253628,0.304199219
6.407777309,0.320068359
6.413299084,0.360839844
6.418820858,0.416015625
6.424344778,0.424072266
6.42986846,0.405273438
6.435393333,0.41015625
6.44098711,0.423339844
6.446517706,0.421875
6.452062607,0.415283203
6.457589388,0.442382813
6.463116169,0.469238281
6.468644142,0.506591797
6.474170446,0.524658203
6.47969532,0.495849609
6.485222578,0.473876953
6.490744829,0.44140625
6.496268272,0.38671875
6.501793385,0.349121094
6.507323265,0.307128906
6.512847424,0.260742188
6.518371582,0.201660156
6.523895264,0.198974609
6.529421568,0.201904297
6.534945965,0.205078125
6.540469646,0.249023438
6.545996666,0.276611328
6.551520824,0.30078125
6.557183743,0.354248047
6.563177109,0.383300781
6.569629192,0.394042969
6.5760746,0.321289063
6.58251524,0.206542969
6.588969707,0.063720703
6.595412731,-0.049804688
6.601854801,-0.11328125
6.608302355,-0.160400391
6.614744425,-0.115478516
6.621188879,-0.080566406
6.627636194,-0.040283203
6.634078503,0.062744141
6.64052248,0.107666016
6.646973133,0.171386719
6.653419018,0.233642578
6.659927368,0.256591797
6.666404247,0.258056641
6.672866344,0.216308594
6.67931962,0.185302734
6.685764551,0.126708984
6.692220449,0.108398438
6.698667049,0.116455078
6.705115557,0.132324219
6.711573839,0.131591797
6.718025923,0.078613281
6.724473715,0.080078125
6.730925083,0.087402344
6.737378836,0.1328125
6.743822336,0.165283203
6.750273705,0.177001953
6.756723404,0.199462891
6.763043642,0.209228516
6.768573761,0.20703125
6.774103403,0.181884766
6.779635668,0.090576172
6.785164595,0.121582031
6.790696383,-0.005126953
6.796228647,-0.000488281
6.80175972,-0.021240234
6.807322741,-0.0390625
6.812855482,0.010253906
6.818386316,-0.010986328
6.823916435,0.031982422
6.829448462,0.023681641
6.834981441,0.004882813
6.840510368,-0.025146484
6.846035242,-0.054931641
6.851562262,-0.050048828
6.857092381,-0.063232422
6.862646341,-0.104492188
6.868172169,-0.088134766
6.873699665,-0.186523438
6.879271746,-0.145263672
6.884858847,-0.180908203
6.890378475,-0.179199219
6.895889044,-0.203613281
6.901401758,-0.252685547
6.906905651,-0.244873047
6.91241169,-0.198242188
6.917918205,-0.140136719
6.923419476,-0.059570313
6.928978682,0.045654297
6.934496403,0.1640625
6.940001011,0.183837891
6.945502996,0.206787109
6.951095819,0.217773438
6.956637383,0.194335938
6.962198496,0.126464844
6.967727661,0.056640625
6.973257542,-0.065673828
6.97879076,-0.053222656
6.984324932,-0.111816406
6.98985672,-0.093017578
6.995389223,-0.120605469
